"Donor","Group","Cell","CCR10","CD278","IFNGRB","CD46","CD70","CD1a","CD2","B7H4","CD10","CD100","CD105","CD106","CD107a","CD107b","CD109","CD111","CD112","CD114","CD116","CD117","CD119","CD11a","CD11b","CD122","CD123","CD126","CD127","CD13","CD131","CD134","CD135","CD137","X4.1BBL","CD138","CD140a","CD140b","CD141","CD142","CD143","CD146","CD148","CD15","CD150","CD151","CD154","CD156c","CD158e1","CD162","CD163","CD164","CD165","CD166","CD169","CD170","CD172a.b","CD172g","CD178","CD179a","CD179b","CD18","CD180","CD182","CD183","CD185","CD191","CD194","CD1b","CD1c","CD200","CD200R","CD202b","CD203c","CD205","CD206","CD207","CD21","CD213A1","CD213A2","CD218a","CD221","CD223","CD226","CD227","CD229","CD23","CD231","CD244..2B4.","CD245","CD252","CD261","CD262","CD263","CD266","CD268","CD271","CD275","CD276","CD147","CD279","CD28","CD29","CD290","CD298","CD30","CD300c","CD309","CD31","CD314","CD317","CD324","CD325","CD328_clone_6-434","CD33","CD334","CD335","CD336","CD337","CD34","CD340","CD344","CD35","CD354","CD360_clone_17A12","CD365","CD366","CLEC4A","CD36L1","CD39","CD40","CD41","CD42b","CD43","CD44","CD47","CD48","CD49a","CD49b","CD49c","CD49d","CD5","CD50","CD54","CD55","CD58","CD6","CD61","CD62E","CD62L","CD62P","CD63","CD64","CD69","CD73","CD74","CD79b","CD80","CD81","CD82","CD83","CD85_clone_17G10.2","CD85k","CD87","CD89","CD9","CD90","CD93","CD94","CD96","CD97","CD99","CXCL16","DLL1","DLL4","DR3","EGFR","GPR19","GPR56","HLA.E","HVEM","Ig.light.chain.κ","IgM","CD360_clone_2G1-K12","Integrin.α9β1","Jagged.2","Ksp37","LAP","LY6G6D","MERTK","MSC","MSC.NPC","TNAP","MUC.13","NKp80","Notch.1","Notch3","Notch.4","NPC","CD352","PSMA","ROR1","Siglec.10","CD328_clone_S7.7","Siglec.8","Siglec.9","SSEA.5","SUSD2_clone_W5C5","TCR.α.β","Tim.4","TLT.2","TM4SF20","TRA.2.49","TRA.2.54","TSLPR","VEGFR.3","CD133","APCDD1","CD272","CD198","CCRL2","CD102","CD104","CD124","CD130","CD144","CD152..CTLA.4.","CD155","CD158b","CD184","CD186","CD192","CD197","CD199","CD209","CD217","CD230..Prion.","CD24","CD243","CD26","CD269","CD282","CD284","CD301","CD303","CD304","CD307e","CD323","CD357..GITR.","CD36","CD369","CD370","CD371","CD45RO","CD51","CD59","CD7","CD71","CD84","CD88","CD355","erbB3","FPR3","Ganglioside.GD2","GPR83","Ig.light.chain.λ","IgD","IL.28RA","integrin.β5","KLRG1","LOX.1","MICA.MICB","SUSD2_clone_W3D5","Notch.2","TACSTD2","TIGIT..VSTM3.","C3aR","CCX.CKR..CCRL1.","CD11c","CD129","CD158","CD181","CD193","CD196","CD1d","CD20","CD22","CD220","CD235ab","CD258","CD274","CD319","CD32","CD326","CD338","CD368","CD45RB","CD49e","CD52","CD66a.c.e","CD85h","CD85_clone_GHI/75","CD86","CD92","CXCR7","Delta.Opioid.Receptor","Dopamine.Receptor.D1..DRD1.","EphA2","FcεRIα","GARP","CD215","Lymphotoxin.β.Receptor","MRGX2","TMEM8A","CD254","CD318","CD255","SSEA.4","Sialyl.Lewis.X..dimeric.","TRA.1.81","CD160","CD57","CD66b","TRA.1.60.R","CD115","CD201","CD120b","CD210","CD267","CD294","CD49f","CD85_clone_MKT5.1","CD85d","IgG.Fc","Integrin.β7","XCR1","Podoplanin","CD132","CD195","CX3CR1","SSEA.3"
"NonP3-1","Nonpregnant","gdTCR",97.44,74.74,6.23,77.2,0.2,0,88.2,0,0,15.1,78.1,0,83.1,8.9,0,0,0,2.5,3.1,0,80.1,88.2,65.1,22.8,0,0,82.9,3.3,0,0,0,0,3.4,0,0,17.3,7.5,0,10.3,0,38.9,5.9,67.5,74.5,0,88.2,0,87,0,85.7,6.1,17.4,60.7,0,0,78.2,0,9.8,0,88.2,0,0,83.8,13.2,33.1,28.8,0,0,9.7,69.8,0,1.8,86.9,46.9,0,0,12.2,9.1,76.4,0,0,80.8,17.1,88.2,0,1.6,78.2,0,4.9,10.4,0,5.6,0,0,0,0,15.5,88.2,4.9,73.5,88.2,0,88.2,0,9.6,0,54.9,84.6,76.3,3.8,13.2,0,0,0,0,0,0,0,0,0,0,21.5,0.3,9.1,0,0,0,0,0,15.5,0,88.2,88.2,88.2,88.2,0.9,0,24.3,87.1,88.2,88.2,79.7,75,88.2,86.7,50.1,0,2.7,0,85,13.2,0,44.1,10.7,13.8,0,88.2,87,1,0,0,1.2,0,55.3,0,0.5,81,50.3,87.2,88.2,0,0,0,0,0,1,19.1,88.2,87.4,0.2,0,2.5,0.2,0,0,0,7.4,0,1,41.2,0,0,9.5,0,0,0,6.6,88.2,0,0,0,0,4.7,0,0,2.3,8.7,0,0.5,6.3,0,0,0,0,0,0,37.1,9.2,2.8,81.4,0,0,0,0,0,0,0,81.4,22,53.6,40.2,2.9,0,0.5,75.7,0,63.7,66.5,0,0,0,2.1,0,0,0,0,0.3,18,0,0,0,63.1,0,80.2,80.2,0,77.1,0,0,0,0,0,0,0,0,0,0,70.8,0,0,0,0,0,0,18.6,7.8,26.4,0,3.5,15.2,7.4,28.9,0,6.1,1.3,2.4,0,1.8,45.2,76.9,10.3,0,0.7,0,86.4,79.5,86.4,4.6,0,11.9,0,0.4,9.3,1.5,7.1,10.5,0,0,7.7,1.2,5.1,8.2,0,0,0,0,1.75,0,21,16.2,0,0,21.7,13.2,15.64,39.44,2.27,10.74,88.54,3.99,16.14,0,77.84,4.93,10.04,69.2,87.7,42.7,0
"NonP1-1","Nonpregnant","gdTCR",97.67,84.57,24.87,61.4,0,0,81.1,0.3,1.7,16.5,54.1,0,73,1,10.2,0,0,0,0,0,74.6,81.1,70.3,51.8,0,0,57.1,9,0,3.3,0,0,13.7,0,2.1,5.5,4.8,0,2.3,0,28.1,3.3,26.6,60.5,0,81.1,0,80.7,0,69.8,8.4,8.8,63.8,3.5,0,42.5,0,11.4,0,81.1,0,2.6,77.1,8,35.7,29,1.3,0,0,34.1,0,2.5,80.2,19.8,0,0,8.4,6.6,77.7,0,0,76.6,0,81.1,0,5.1,77.2,0,6.8,9.3,0,6,0,0,0,0,8.9,81.1,7.3,25.9,81.1,0,81.1,0,16,0,12.2,78.2,80.2,0,0,16.3,2,0,0,0,0,0,0,10.3,0,53.6,43.6,6.9,0,7.3,0,0,0,5.7,0,81.1,81.1,81.1,81.1,0,0,27.3,81.1,80,81.1,69.7,52.9,81.1,81.1,31.9,0,2,0,76.2,15.4,0,42.5,8,22.9,0,81.1,75.8,6.7,0,0,6.3,0,25.3,0,2.5,72.8,39.4,78.4,81.1,2.9,0,0,0.9,0,5.8,64.8,81.1,80.7,0,0,7.5,6.1,5,0,0,1.6,4,2.1,49.5,0,0,15.2,0,0,0,8.5,81.1,0,0,0.4,10.9,5.3,16,0,0,26.9,0,0.2,4.3,0,3.1,2.7,11.6,0,1.3,67.8,15.1,11.1,80.7,0,2.7,0,0,0,3.8,1,79.8,12.1,34.6,31,7.9,0,22.2,76.5,5.4,67.9,26,0,6.7,9.5,25.9,0,0,0,0,0,17.7,6,3.9,0,65.9,0,81.2,80.2,0,73.8,5,0,0,2.1,0,6.8,0,10.7,0,2.7,78,0.3,0,2.1,0,0,3.9,22.4,10.5,45.8,17.4,1.7,60,14.9,14.8,10.2,8.1,14.8,8.8,0,8.2,68.2,85.3,14.7,0,3.5,3.3,87.1,84.1,87.6,6.4,1.6,52.8,1.6,12.7,11,10.4,5.9,11,0,0,15.1,11.4,16.3,22.1,11.7,0,0.8,0,0,2.6,55,55.5,0,0,24.12,16.62,19.88,77.28,3.38,18.78,88.28,3.53,23.18,0,64.68,17.58,13.78,90.8,85.6,88.6,0
"Cord1","Cord","gdTCR",100,100,15,60.3,0,1.3,55,0,15.4,58,68,0,50.6,0,13,0,0,0,0,2.6,1.3,68,0,0,0,0,56,0,0,0,0,0,5.9,0,0,0,0,0,0,0,4.4,11.5,20.4,0,0,68,0,64.2,0,56.5,8.9,18,10.9,0,0,62.1,0,0,0,68,0,0,56.2,23.6,0,49.2,0,0,43,22.5,0,0,68,3.3,0,61.3,8,0,0,0,0,49.2,0,68,0,0,0,0,0,0,0,13.5,0,0,0,0,0,68,34.7,59.7,68,0,68,0,1.3,0,51.3,13.5,59.7,0,0,3.3,0,0,0,0,3,0,0,0,22.2,0,37.2,0,0,18,0,0,0,0,0,68,68,68,68,1.3,0,0,68,68,68,0,68,62.7,68,0,0,41.3,0,21.6,0,0,45.3,1.3,31.6,0,68,68,0,0,0,0,0,24.2,0,5.5,0,0,57.5,68,0,0,0,0,0,0,0,68,68,0,0,23,0,0,0,0,0,0,0,51.3,0,0,0,0,0,0,0,68,0,0,0,0,13,0,0,0,21.8,0,0,0,0,0,0,0,0,0,41.8,21.4,17.1,71.4,0,0,0,0,0,0,0,63.7,0,0,65.5,31.4,0,1.4,47.6,24,55.4,39.6,0,0,0,4.7,0,0,0,0,0,0,0,2.2,0,53.8,0,71.4,71.4,32.9,62.7,0,0,0,0,0,0,0,0,0,0,24.7,0,0,0,0,0,0,1.8,16.7,23.3,23.3,11.4,23.3,7.4,37.6,12.2,28.5,0,7.6,0,0,28.5,18.6,0,0,0,3.3,90,37.8,90,3,0,10,2.5,23.3,5.4,8.8,0,10,0,0,17.3,16.7,13.1,10,15,0,0,0,0,0,9.09,7.69,0,0,25,6.67,44.4,83.3,0,21.4,100,14.3,27.3,10,69.2,16.7,21.4,100,30.8,33.3,0
"Cord2","Cord","gdTCR",100,91.3,27.8,70.9,9.8,9.8,60.7,0,23.2,41.5,76.5,0,55.1,21.5,0,0,0,0,3.2,0,48.5,76.5,38.4,1.5,0,5.1,59.8,0,0,9.8,0,23.9,9.8,0,0,0,7.3,0,11.5,0,9.8,14,43.2,0,0,76.5,0,76.5,0,76.5,7.3,43.2,16.5,0,5.1,56.5,0,23.6,0,76.5,0,7.7,76.5,23.2,9.8,50.2,0,0,43.2,32.7,12.9,6.5,72.7,33.6,3.8,20.9,9.8,7.3,46.5,19.4,5.1,39,5.1,76.5,0,5.1,32.1,0,26.5,0,2.8,14,0,0,0,14,29.4,76.5,16.5,76.5,76.5,0,76.5,0,39.7,0,46.5,23.9,9.8,6.5,0,26.5,12.9,0,0,0,1.5,0,0,0,32.5,0,29.4,14,4.5,0,0,0,0,0,0,76.5,76.5,76.5,76.5,0,0,0,76.5,76.5,76.5,12.9,76.5,76.5,76.5,0.3,0,38,0,41.5,39,0,45.3,2.8,52.5,0,76.5,76.5,14,0,0,29.4,0,69.8,0,3.4,11.1,0.3,65.4,76.5,11.1,0,0,2.6,1.5,29.8,11.5,70.9,76.5,0,26.5,2.6,0,5.9,0,0,3.8,8.3,0,51.5,0,0,0,0,0,26.5,33.6,76.5,0,0,0,0,7.3,0,0,0,45.3,5.9,3.8,0,8.1,0,0,24.8,0,0,4.2,12.5,0,37.5,0,0,0,0,0,0,0,25,0,0,28.4,0,0,0,14.4,0,19.3,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,37.5,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9,29.5,29.5,0,3.6,0,3.6,8.3,41.7,0,33.3,15,0,0,55,32.1,0,0,0,30.6,75,41.7,75,0,12.5,0,0,32.1,0,0,12.5,15,0,0,0,5,16.7,25,0,0,21.93,5.83,0,0,17.5,0,0,0,40,18.2,0,38.9,8.3,16.6,75,33.3,1.5,0,28.8,0,43.3,85.7,33.3,50,0
"Dec2","Decidua","CD4",93.97,91.57,31.67,53.8,0,0,70.6,0,0,54.5,34,0,64,15.5,5.3,0,0,0,11.1,0,20.8,71,9.1,0,0,0,57.5,5.5,0,13.9,0,0,12.7,0,0,11.5,7.4,0,5.6,0,30.3,8.6,37,5,0,70.8,0,19.9,0,68.2,0,28.4,0,0,0,66.8,0,9.7,0,71,0,0,62.8,22.7,20.6,56.7,5.5,0,5.8,51,0,11,69.7,4.4,0,0,1.6,12.2,38.4,0,0,61.7,12.6,69.5,0,1.8,0,0,12.9,13,0,8.6,0,0,0,0,11.6,71,11.3,69.1,71,0,71,0,25.4,0,6,0,50.3,0,2.8,0,0,0,0,0,0,0,0,0,0,0,14.2,3.6,0,0,0,0,0,0,0,69.5,71,71,70.8,0,0,12.7,53.4,71,71,0.4,56.2,69.9,70.6,0,0,0,0,26.5,26,0,1.3,10.1,27.4,0,70.8,69,9.5,0,0,0,0,13.5,0,0,0,0,60.3,17.5,9.5,0,0,0,0,2.2,0,66.8,65.5,0,0,0,0,0,0,0,0,0,0,51.6,0,0,0,0,0,0,9.5,67.9,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,36.3,24.1,0,55,0,0,0,0,0,0,0,67.4,0,26,58.6,15.2,0,0,8.3,0,22.7,54.7,0,0,0,11.7,0,0,0,0,0,0,0,0,0,35.3,0,68.2,57.5,11.5,26.9,0,0,0,0,0,10.2,0,9.9,0,0,15.8,0,0,0,0,0,0,20.7,29.7,27.6,26.6,9,26.3,30.1,33.8,18.6,0.4,28.5,13.5,0,14.1,66.2,21.1,28.9,0,10.2,12.4,76.9,78.2,89,27.9,10.1,16.3,0.9,19.1,30.3,20,20.4,26.3,0,0,25.9,14.6,25.2,19.6,27.8,0,9.2,0,0,0,17.72,3.51,0,0,48.74,25.74,21.99,40.49,0,19.19,80.99,8.79,31.79,1.71,18.59,23.79,20.79,76.98,61.68,37.88,0
"Dec1","Decidua","CD4",97.79,97.49,27.69,67.3,0,0,78.9,0,0,66.7,79,0,67,4.5,7.1,0,0,0,8.9,0,25.2,79.4,17.3,0,0,4.4,73.4,8.1,0,8.5,0,0,25.1,0,0,10.3,3.1,0,4.1,0,19.2,23.2,32.7,7.7,0,79.4,0,24.6,5.3,70.5,0,28.4,35.3,0,16.1,76.7,0.6,9.6,0,79.4,0,0,70.2,13.4,16.3,63.3,4.3,0,31.8,64.9,0,9.7,77.2,27.6,0,0,2.9,8.8,34.7,0,0,69.9,9.8,78.9,0,0.8,5.7,0,1.3,0.9,0,6.9,0,0,0,0,33.7,79.4,13.7,79.4,79.4,0,79.4,0,31.2,0,24.6,0,51.2,0,3,7.1,7.6,0,0,0,0,0,0,0,0,0,15.9,10.6,0,0,0,23.7,0,0,0,76.4,79.4,79.4,79.4,33.8,0,12,73.1,79.4,79.4,15,72.4,79,78.9,3.4,0,24.2,0,46.8,71.1,10.2,1.9,7.5,35.3,0,79.4,79.4,6.8,0,0,0.4,0,46.3,0,0,0,16,74.2,38.8,5.1,0,0,0,0,4.8,0,79.1,78.7,51.6,0,4.2,0,0,0,0,0,1.8,0,61.3,0,0,0,0,0,0,6,78.7,0,0,0,17.4,0,0,0,1.2,79.4,0,0,0,0,0,0,0,0,0,48.6,30.3,12.5,51,0,0,0.3,0,0,0,0,57.4,0,23.5,52.9,10.3,0,22.7,3.4,8.6,35.8,55.9,0,0,0,18.5,0,0,0,0,4.8,22.3,0,0,0,30.9,0,57.8,55.1,18.8,16.8,6.3,0,0,0,0,8.9,14.2,6.9,0,4.6,36.1,0,0,0,0,0,0,20.3,8.7,20.7,14.2,0,22.2,15.4,20.3,10.5,0,14.8,22.2,0,19.6,65.6,19.4,71.8,0,5,8.2,78.2,80,87.5,26.5,4.3,16.9,0,39.1,16.8,11.5,11.7,9.3,0,0,12.9,8.2,15.4,28.6,13,0,0,0,4.02,0,15.97,2.69,20.07,0,34,19.5,14.77,41.57,0,22.97,87.47,7.67,24.27,40.47,52.47,14.87,22.57,81.95,67.15,36.75,0
"Dec4","Decidua","CD4",94.75,92.25,41.85,50.7,0,0,62.4,0,0,50.4,62.4,0,56.2,12.8,10.1,0,0,0,11.8,0,18.7,62.5,0,0,0,0,55.6,17.1,0,9.9,0,0,23.9,0,0,14,7,0,9,0,23,1.1,18.5,0,0,62.3,0,21.3,0,61.6,2.6,26.1,0,0,0,59.2,0,12.3,0,62.5,0,0,60.6,30.5,19.6,55.1,8.9,0,25.3,49.9,0,10.3,61.2,21.1,0,0,5.4,9.8,34.8,0,0,53.8,6.1,61.8,0,3.8,3,0,8.8,14.6,0,17.4,0,0,0,0,20.7,62.5,0,62,62.5,0,62.5,0,33.2,0,20,0,42.8,1.5,7.4,0,0,0,0,0,0,0,0,1.5,0,0,21.2,9.1,0,0,0,0,0,0,0,48.5,62.5,62.5,62.4,0,0,8.7,52.3,62.5,62.5,0,54.6,62.4,62.4,0,0,0,0,26,45.4,0,16.5,7,44.2,0,62.4,62,7.3,0,0,4.3,0,15.3,0,0,0,0,56.5,33.7,11.1,0,0,0,0,3.1,0,59.1,61.4,0,0,5.6,0,0,0,0,0,3.3,0,54.4,0,0,0,0,0,0,11.4,61.5,0,0,0,0,0,0,0,0,62.5,0,2.4,0,0,0,0,0,0,0,36.8,34.2,0,45.4,0,0,0,0,0,0,0,53.4,0,16.2,50.2,9.6,0,0,8.9,0,31.5,49.4,0,0,0,15.6,0,0,0,0,0,0,0,0,0,2.4,0,53.4,49.2,9.4,3.7,0,0,0,0,0,15.6,0,11.3,0,0,27.7,0,0,2.3,0,0,0,29.7,37,34.9,34.7,8.9,38.2,29.4,41,27.4,0,33.9,17.5,0,22,70.3,23.7,55.3,0,15.2,17.4,76.7,75.3,83.2,32.8,12.3,18.3,0,26.9,34.8,29.6,25.4,31.3,0,0,32.3,13.3,32.3,29.1,35.7,0,14.2,0,0,0,21.91,0,0,0,60.14,33.64,34.37,46.17,0,31.27,81.37,5.77,41.87,10.57,39.87,26.77,34.57,81.32,69.92,45.42,0
"Dec3","Decidua","CD4",95.92,95.42,36.82,62.3,0,0,67.4,0,0,62.6,67.2,0,62.8,13.3,11.3,0,0,0,9.6,0,28.8,67.9,14,0,0,0,58.5,15.7,0,8.8,0,0,27.4,0,0,8.8,4.6,0,2.7,0,24.6,18.4,23.9,0,0,67.9,0,30.5,0,65.6,0,29.1,6.1,0,0,54.1,0,10,0,67.9,0,0,58.4,28.8,14.8,56.8,2.1,0,29.8,54.8,0,5.8,66.3,6.6,0,0,4.7,3.9,35.4,0,0,61.8,6.8,66.9,0,0,6.3,0,7.8,8.9,0,9,0,0,0,0,24.1,67.9,0,65.5,67.9,0,67.9,0,28.6,0,27.6,0,34.8,0,5.1,0.8,0,0,0,0,0,0,0,0.6,0,0,27.7,4.2,0,0,0,0,0,0,0,67.3,67.9,67.9,67.9,11.5,0,9.3,58.9,67.7,67.9,2.8,61.7,67.8,67.7,0,0,5.2,0,30.1,56.3,0,12.2,6.2,41.8,0,67.7,67.8,8.2,0,0,2.3,0,39,0,0,0,7.7,53.2,30.2,7.9,0,0,0,0,0,0,66.4,67.5,15.1,0,7.4,0,0,0,0,0,0,0,54.7,0,0,0,0,0,0,6.5,65.9,0,0,0,7.4,0,0,0,0,67.9,0,1.2,0,0,0,0,0,0,0,44.4,35.8,1.3,54.2,0,0,3.5,0,0,0,0,56.2,0,25.7,52.6,17.1,0,26.4,5.5,9.5,39.7,52.9,0,0,0,20.8,0,0,0,0,0,8.3,0,0,0,26.2,0,57.2,49.4,31.6,9.3,0,0,0,0,0,15.2,0,11.7,0,1.5,22.3,0,0,0,0,0,0,20.5,29.6,36.3,25.7,5.9,40.6,25.4,37.1,28.3,2.1,20.7,16.1,0,12.7,71.2,19.3,48.7,0,11.3,9.6,74.6,79.1,83.4,35.3,7,20.4,0.2,49.6,26.5,14.8,21.1,18.1,0,0,19.6,14.8,25.9,32.6,23.3,0,10.9,0,0.82,0,16.23,0,0.61,0,55.87,22.07,24.5,43.6,0,21.2,82.8,9.7,33.1,15.2,33.4,21.6,26.7,78.48,63.38,45.38,0
"Preg2","Pregnant","CD4",98.21,97.31,17.61,85,0,0,87.5,0,0,81.6,87.3,0,58.3,4.9,5.5,0,0,0,8,0,15.3,87.5,0,0,0,35.5,85.2,2.6,0,9.4,0,0,11.1,0,0,6.1,4.1,0,6.1,0,15.9,0,19.9,7.6,0,87.5,0,85.6,0,81.5,25.8,7.7,24.1,0,0,85.4,0,9.4,0,87.5,0,0,68.6,21.7,10.1,51.1,3.8,0,10.8,68.2,0,4.5,87.3,7.2,0,0,0,5.2,24.8,0,0,77.3,15.6,87.2,0,0,0.3,0,3.3,5.6,0,6.5,0,0,0,0,9.1,87.5,0.7,86.5,87.5,0,87.5,0,30.3,0,33.5,0,72.7,2.7,2.2,0,0,0,0,0,0,0,0,2.5,0,0,8.8,1.6,0,2.9,0,0,0,0,0,87.5,87.5,87.5,87.5,1,0,16.8,76.6,87.5,87.5,2.4,84,78,87.5,0,0,35.2,0,11.7,14.8,0,12.1,2.5,34,0,87.5,85.5,5.5,0,0,1.7,0,24.6,0,0,0,5.4,85.5,87.5,2.2,0,0,0,0,0.8,0.8,87.5,87.5,0,0,0,0,0,0,0,0,0,0,62.5,0,0,0,0,0,0,7.8,87.4,0,0,0,0,0,0,0,0,87.5,0,0,2.1,0,0,0,0,0,0,74.6,19.3,2.4,85.4,0,0,22.9,0,0,0,0,83.2,0,12.1,82,7.5,0,10.2,73.3,2.1,13.9,78.7,0,0,0,7.5,0,0,0,0,0,0,0,0,0,26.6,0,85.5,83.6,21.2,29.3,0,0,0,0.8,0,6.1,0,5.5,0,0,4.4,0,0,1,0.5,0,0,11.05,12.75,9.75,12.95,2.34,13.05,12.45,23.35,19.15,8.25,11.45,4.95,0,5.95,43.65,8.55,12.95,0,4.01,3.95,93.85,79.05,94.65,16.15,3.76,5.45,0,18.85,13.25,7.95,11.05,12.05,0,0,12.55,6.55,11.15,5.95,11.65,0,6.9,0,0.02,0,6.86,2.6,0,0,22.803,10.803,11.21,25.21,0,10.81,86.71,3.78,15.61,0,55.51,10.81,10.81,85.2,28.4,13.3,0
"Preg1","Pregnant","CD4",98.39,97.29,17.39,80.8,0,0,82.8,0,0,80.4,82.8,0,45.9,0.2,6.3,0,0,0,2.9,0,6.1,82.8,0,0,0,31,81.4,1.9,0,4.4,0,0,9.9,0,0,4.6,0,0,1.7,0,14.4,8.1,11.5,0,0,82.7,0,79.7,0,72.9,24.8,12.2,16.7,0,0,80.8,0,7.9,0,82.8,0,0,71.3,20.8,6.7,51.9,0,0,21.3,68.2,0,2.2,82.5,0,0,0,0,1.4,15.7,0,0,75.3,15.5,82.5,0,0,0,0,3.9,6.3,0,5.6,0,0,0,0,5.1,82.8,0,82.1,82.8,0,82.8,0,27.6,0,44.2,0,63.1,0,2.2,0,0,0,0,0,0,0,0,0.6,0,0,11.7,3,0,0,0,0,0,0,0,82.8,82.8,82.8,82.8,0,0,10.8,75.5,82.8,82.8,0,80.7,70.1,82.7,0,0,59.6,0,13.4,19.3,0,0,0,39.6,0,82.7,82.7,3.5,0,0,1,0,26.4,0,0,0,6.3,82.4,82.8,2.7,0,0,0,0,0,0,82.8,82.8,0,0,2.1,0,0,0,0,0,0,0,68.9,0,0,0,0,0,0,2,82.7,0,0,0,0,0,0,0,0,82.8,0,0,0,0,0,0,0,0,0,79.9,19.8,2.7,82.9,0,0,45.7,0,0,0,0,82.8,0,13.4,81.7,11.9,0,29.1,80.1,5.5,14.5,78.9,0,0,1.5,11.9,0,0,0,0,0.2,0,0,0,0,22.7,0,83.1,81.9,31.3,31.9,0.3,0,0,0,0,7.2,0,8.3,0,0.1,53.6,0,0,2.7,0.9,0,0,9.11,16.31,10.01,12.51,3.01,16.91,12.61,22.81,23.41,5.51,13.61,6.61,0,5.21,53.51,7.61,15.51,0,2.17,5.11,91.81,80.31,92.31,12.61,3.71,4.61,0,18.51,14.01,8.91,11.21,11.11,0,0,14.61,5.71,11.51,18.01,13.81,0,6.1,0,0.28,0,7.69,1.47,0,0,27.7,12.7,12.49,25.99,0,11.79,89.79,3.63,17.29,0,47.79,10.99,9.39,90.4,32.2,16.6,0
"Preg4","Pregnant","CD4",89.5,88.8,14.3,84,0,0,85.6,0,0.4,82.2,67,0,75,13.3,15.4,0,0,0,6.8,6.6,27.7,85.7,3.6,0,0,41.3,85,4.2,0,2.4,0,0,17.2,0,0,8.9,5,0,6.9,0,44.2,10,25.2,0,18.1,85.7,0,84.2,0,83.2,61.6,20.7,64,0,8,85.1,0,5.4,0,85.7,0,0,71.7,22.7,14,59.2,1.7,0,34.5,74.2,0,6.4,84.9,9.8,1.4,0,4,6.3,41.8,11,0,80.2,8,85.5,0,0,1.8,2,4.2,2.9,0.8,9,0,0.8,0,0,9.9,85.7,1.6,85.6,85.6,0,85.7,0,30.9,0,44.6,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,8.6,0,0,0,0,0,0,0,85.5,85.7,85.7,85.7,0,0,18.8,80.3,85.7,85.7,0,84.2,83.6,85.7,22.7,0,61.8,0,15.6,14.4,0,29.9,0,39.5,0,85.7,84.5,0,0,0,0,0,21.8,0,0,0,18.8,84.4,85.7,0,0,0,0,0,0,0,85.2,85.4,0,0,0,0,0,0,0,0,0,0,64.8,0,0,0,0,0,0,2.1,85.2,0,0,0,0,0,0,0,0,85.7,0,0,0,0,0,0,0,0,0,83.27,24.97,2.07,90.77,0,0,52.87,0,0,0,0,90.87,0,12.07,89.87,9.27,0,33.77,81.07,2.27,26.67,87.77,0,0,0.91,11.37,0,0,0,2.57,0,2.37,0,0,0,20.97,0,91.07,89.57,32.27,37.67,1.06,0,0,0,0,11.37,0,8.17,0,1.97,38.17,0,0,2.17,6.47,0,1.77,10.2,14,10.3,10,2.86,16.7,9.4,24,9.9,6.7,13.9,7,0,5.7,61.5,6,20.1,0,4.03,3.48,94.1,84.9,94.4,21.6,4.39,6.6,0.65,46.5,11.7,7.7,7.8,8.4,0,0.01,12.7,7.3,15.1,60.3,11,0.3,4,0,1.21,1.9,5.17,9.67,0.14,0,34.76,7.26,7.04,29.94,0,11.34,90.04,2.23,11.54,0.57,62.24,4.14,4.64,84.06,33.06,10.56,0
